Minutes Spent,Points,Run,Program Version,Time Started (UTC),Position,User,Do you consent to participate and agree to these terms? (oo4eyne),in_progressIncrement,What are your current meditative and spiritual practices? Please tick all that apply. (ua0spdk),spiritualPracticeChecklistAnswers,Please share your current meditative and spiritual practices. (yj7qwt4),freetextifSomethingElseisaPractice,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (dxbqro5)","Over your whole lifetime, approximately how many total hours of formal meditation practice, prayer, or mindful contemplation from any spiritual tradition have you done? (2eykr8v)",hoursofMindFocusedPracticeLifetime,"Over your whole lifetime, approximately how many total hours of other formal breath or movement-based practice have you done (for example, yoga, tai chi, qi gong, martial arts, but NOT including activities such as team sports or athletics). (fsr58uk)",hoursofBodyFoucsedPracticeLifetime,out_progress,"Have you ever taken psychedelic drugs and then experienced lasting, significant or sudden change to your emotions, paradigms, habits, sense of identity, or perception of life? (cgjc4xu)",drugImpacts,"Have you ever explicitly attempted any formal magical, divine or occult practices, such as healing prayer, banishing, spirit contact, mind reading, clairvoyance, divination, astral travel, spell casting, or telekinesis? (a250clw)",magicalPracticesFreq,"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-? (nd7atoc)",supernaturalExperiences,"Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-. (e0kzqd7)",freetextifSomethingElseisanExperience,"Have you ever had sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded? (eczytws)",unusualNondrugMentalEvents,"Please share any other sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded. (iyy6byr)",freetextNondrugMentalEventswereSomethingElse,Please write the number of retreats you-ve attended. (ulbtcpw),noRetreats,Please estimate the total number of days you-ve had on retreats so far in your life. (261my3q),noDaysofRetreat,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (fz15ziw)",Please estimate the total number of days you-ve spent on retreats so far in your life. (ogyyvcs),"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-? (ovc05rd)","Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-. (x3yjzfj)","Sometimes these unusual mental events are seen in positive and-or transformative terms, even if they weren-t all pleasant. Which of these terms (or their very near equivalents) you have ever thought might reasonably apply to what was going on with you? (rf9besl)"
13.52,0,5959382,54,12/21/20 19:59,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
12.85,0,5959392,54,12/21/20 20:00,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,100,100,5.0,5.0,0.84,,,Yes – I do this a lot now,4,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,2.0,2.0,,10.0,I've attended at least one.,10.0,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts",,Divine Revelation
14.52,0,5959373,54,12/21/20 19:59,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,5,5,0.0,0.0,0.84,,-1,Yes – I did this a little in the past,1,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
10.3,0,5959405,54,12/21/20 20:03,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,500,500,40.0,40.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of something that was happening elsewhere""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,3.0,I've attended at least one.,3.0,"Yes, I have had inexplicable knowledge of something that was happening elsewhere",,"Breakthrough Experience,Awakening"
38.38,0,5959187,54,12/21/20 19:35,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,2,2,12.0,12.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Knowledge and Conversation of one’s Holy Guardian Angel
15.28,0,5959370,54,12/21/20 19:58,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,450,450,0.0,0.0,0.84,,"[-1,1]",Yes – I did this a little in the past,1,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts"",""Yes, I have experience of leaving my body behind to travel to some other place""]",,,"Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have experience of leaving my body behind to travel to some other place",,"Divine Revelation,Dissolution in the Love and/or Will of God,Awakening"
5.92,0,5959434,54,12/21/20 20:08,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
6.5,0,5959432,54,12/21/20 20:08,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,0,0,0.0,0.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,2.0,I've attended at least one.,2.0,"No, I have never had such experiences",,Dissolution in the Love and/or Will of God
6.33,0,5959439,54,12/21/20 20:09,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
7.3,0,5959436,54,12/21/20 20:09,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,4,4,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
7.07,0,5959450,54,12/21/20 20:10,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,20,20,2.0,2.0,0.98,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
13.62,0,5959397,54,12/21/20 20:05,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,5,5,2.0,2.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,3.0,3.0,,2.0,I've attended at least one.,2.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
16.72,0,5959401,54,12/21/20 20:02,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,1200,1200,150.0,150.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened"",""Yes, something else""]",,"I have had thoughts or dreams that were shared with other people in my family. These people have experienced these things at the same time as I have, such that they were a shared experience even though we were not in the same place.","No, I have never had such experiences","[""No, I have never had such experiences""]",,,10.0,10.0,,25.0,I've attended at least one.,25.0,"Yes, I have had inexplicable knowledge of something that had not yet happened,Yes, something else","I have had thoughts or dreams that were shared with other people in my family. These people have experienced these things at the same time as I have, such that they were a shared experience even though we were not in the same place.","I read the question, but I never thought any of these applied to me"
17.28,0,5959409,54,12/21/20 20:04,yoqej1s,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]",I don't have any of these,I don't have any of these,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
31.0,0,5959319,54,12/21/20 19:50,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,40,40,100.0,100.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, something else""]",,"I have felt cold when in certain places, but there was no draft and others were not cold.","No, I have never had such experiences","[""No, I have never had such experiences""]",,,2.0,2.0,,5.0,I've attended at least one.,5.0,"Yes, something else","I have felt cold when in certain places, but there was no draft and others were not cold.",Knowledge and Conversation of one’s Holy Guardian Angel
17.8,0,5959411,54,12/21/20 20:04,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,300,300,600.0,600.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I had the sense that everything was unreal, like a dream or a cartoon","[""Yes, I had the sense that everything was unreal, like a dream or a cartoon""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
13.52,0,5959443,54,12/21/20 20:08,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,100,100,10.0,10.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I have similar effects as part of supernatural or psychic experiences","[""Yes, I have similar effects as part of supernatural or psychic experiences""]",,,2.0,2.0,,14.0,I've attended at least one.,14.0,"No, I have never had such experiences",,Dissolution in the Love and/or Will of God
10.48,0,5959460,54,12/21/20 20:11,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]",I spend time in my thoughts while walking and while listening to music that allows me to feel something bigger than myself.,I spend time in my thoughts while walking and while listening to music that allows me to feel something bigger than myself.,,50,50,100.0,100.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
11.25,0,5959455,54,12/21/20 20:11,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,30,30,0.0,0.0,0.84,,,Yes – I did this a little in the past,1,,"[""Yes, I have had visions of other places or objects not physically present"",""Yes, I have had inexplicable knowledge of something that had not yet happened"",""Yes, I have had inexplicable knowledge of what somebody else was thinking about""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I had my point of view suddenly shift out of my body to a different perspective,Yes, I suddenly felt that everything else was very small, or that I was very big,Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I had my point of view suddenly shift out of my body to a different perspective"",""Yes, I suddenly felt that everything else was very small, or that I was very big"",""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,20.0,20.0,,0.0,I've attended at least one.,0.0,"Yes, I have had visions of other places or objects not physically present,Yes, I have had inexplicable knowledge of something that had not yet happened,Yes, I have had inexplicable knowledge of what somebody else was thinking about",,"Breakthrough Experience,Divine Marriage,Awakening,Enlightenment,Divine Revelation,Psychic powers"
24.05,0,5959374,54,12/21/20 19:59,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,2000,2000,3000.0,3000.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,4.0,I've attended at least one.,4.0,"No, I have never had such experiences",,
12.97,0,5959446,54,12/21/20 20:10,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Non-physical medication (e.g. visualisation, sacred symbol, sacred text, analytical meditation)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,400,400,50.0,50.0,0.84,,"[-1,1]",Yes – I did this a little in the past,1,,"[""Yes, I have had inexplicable knowledge of what somebody else was thinking about""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,2.0,2.0,,45.0,I've attended at least one.,45.0,"Yes, I have had inexplicable knowledge of what somebody else was thinking about",,"Atman/Brahman,Ultimate Reality,Psychic powers,Ego Dissolution,Awakening,Spiritual Ecstasy,Non-Duality,Cosmic Consciousness"
3.95,0,5959521,54,12/21/20 20:20,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,0,0,100.0,100.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
10.67,0,5959473,54,12/21/20 20:13,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Non-physical medication (e.g. visualisation, sacred symbol, sacred text, analytical meditation)""]",,,,40,40,300.0,300.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I had my point of view suddenly shift out of my body to a different perspective,Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I had my point of view suddenly shift out of my body to a different perspective"",""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,2.0,2.0,,6.0,I've attended at least one.,6.0,"No, I have never had such experiences",,"Cosmic Oneness,Cosmic Consciousness,Breakthrough Experience"
18.1,0,5959422,54,12/21/20 20:06,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Transcendental meditation"",""Zen buddhist spiritual practice""]",,,,0,0,50.0,50.0,0.84,,,Yes – I do this a lot now | Yes – I do this a lot now,4,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts"",""Yes, I have had visions of other places or objects not physically present"",""Yes, I have had inexplicable knowledge of something that had not yet happened"",""Yes, I have had inexplicable knowledge of what somebody else was thinking about""]",,,"Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation,Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience,Yes, I have similar effects as part of supernatural or psychic experiences | Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation,Yes, I have similar effects as part of supernatural or psychic experiences","[""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation"",""Yes, I have similar effects as part of supernatural or psychic experiences""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have had visions of other places or objects not physically present,Yes, I have had inexplicable knowledge of something that had not yet happened,Yes, I have had inexplicable knowledge of what somebody else was thinking about | Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have had visions of other places or objects not physically present,Yes, I have had inexplicable knowledge of something that had not yet happened,Yes, I have had inexplicable knowledge of what somebody else was thinking about",,"Kundalini,Physical Rapture,Ihtida or Hidayah (divine guidance),Divine Revelation,Conversion Experience,Ultimate Reality,Awakening,Spiritual Ecstasy,Cosmic Oneness,Buddha Nature"
10.15,0,5959490,54,12/21/20 20:15,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Eastern mindfulness (e.g. Satipatthana, or the four foundations of mindfulness)"",""Theravada/Mahasi/Thai insight meditation"",""Other buddhist spiritual practice"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,250,250,0.0,0.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences | Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, something else","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god"",""Yes, something else""]","I had a sense of being an observer, that I was observing my mind/the universe beyond the ego","I had a sense of being an observer, that I was observing my mind/the universe beyond the ego",,,,,I haven't attended any.,,"No, I have never had such experiences | No, I have never had such experiences",,"Awakening,Ultimate Reality,Ego Dissolution,Enlightenment,Non-Duality,Breakthrough Experience"
29.75,0,5959352,54,12/21/20 19:56,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Eastern mindfulness (e.g. Satipatthana, or the four foundations of mindfulness)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Transcendental meditation""]",,,,600,600,0.0,0.0,0.84,,0,Yes – I do this a little now,3,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Cosmic Consciousness,Chakras and/or energy channels"
50.7,0,5959193,54,12/21/20 19:35,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,200,200,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
8.65,0,5959522,54,12/21/20 20:20,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice"",""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,20,20,75.0,75.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
14.6,0,5959481,54,12/21/20 20:14,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,2000,2000,2000.0,2000.0,0.84,,-1,No – I have never practiced or attempted such practices,0,,"[""Yes, something else""]",,"Thinking about someone I had not seen in twenty years, and then running into them the very same day","No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, something else","Thinking about someone I had not seen in twenty years, and then running into them the very same day","I read the question, but I never thought any of these applied to me"
19.18,0,5959444,54,12/21/20 20:10,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Non-physical medication (e.g. visualisation, sacred symbol, sacred text, analytical meditation)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,100,100,200.0,200.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,4.0,4.0,,10.0,I've attended at least one.,10.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
3.93,0,5959556,54,12/21/20 20:25,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,0,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
9.93,0,5959523,54,12/21/20 20:20,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]",I think about my effect on the world and the spiritual past of the world.,I think about my effect on the world and the spiritual past of the world.,,5,5,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Spiritual Ecstasy
11.05,0,5959524,54,12/21/20 20:20,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,10,10,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
22.15,0,5959441,54,12/21/20 20:09,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,0,0,0.5,0.5,0.84,,,Yes – I did this a little in the past,1,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
11.77,0,5959528,54,12/21/20 20:21,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,40,40,1.0,1.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
14.2,0,5959529,54,12/21/20 20:19,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,40,40,5.0,5.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,10.0,10.0,,10.0,I've attended at least one.,10.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
9.93,0,5959542,54,12/21/20 20:23,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,40,40,10.0,10.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
10.95,0,5959547,54,12/21/20 20:23,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,4,4,2.0,2.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I had the sense that everything was unreal, like a dream or a cartoon","[""Yes, I had the sense that everything was unreal, like a dream or a cartoon""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Extremely rapid perception of “mind moments”
20.7,0,5959486,54,12/21/20 20:14,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,0,0,150.0,150.0,0.98,,,No – I have never practiced or attempted such practices | No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
10.45,0,5959557,54,12/21/20 20:25,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
12.13,0,5959554,54,12/21/20 20:24,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,30,30,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Spiritual Ecstasy,Enlightenment"
30.37,0,5959424,54,12/21/20 20:07,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,120,120,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
23.05,0,5959491,54,12/21/20 20:15,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Christian prayer or spiritual practice""]",,,,30,30,30.0,30.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts",,Enlightenment
25.98,0,5959467,54,12/21/20 20:13,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,14000,14000,4000.0,4000.0,0.98,,-1,Yes – I did this a little in the past,1,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences | Yes, something else | No, I have never had such experiences,Yes, something else | No, I have never had such experiences","[""No, I have never had such experiences""]",,,8.0,8.0,,6.0,I've attended at least one.,6.0,"No, I have never had such experiences",,Knowledge and Conversation of one’s Holy Guardian Angel
7.7,0,5959597,54,12/21/20 20:31,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
