Minutes Spent,Points,age,device,gender,education,startedAt,yearOfBirth,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,Run,Program Version,Time Started (UTC),Position,numberOfTotalSections,in_progressIncrement,User,Do you consent to participate and agree to these terms? (tt8ht02),partOfAnotherStudy,Please describe what you view as the *single biggest problem* in your life right now. (oeneidz),biggestLifeProblem,Which *one* of these categories best matches what you described as the biggest problem in your life right now? (vldz3v3),biggestProblem,biggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about? If so, choose the category that best describes this problem. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (49929eh)",biggestProblem2nd,biggestProblem2ndType,Do you think this would still be *one of your two biggest* problems in life if we were not currently going through the global COVID-19 pandemic? (61017ps),biggestProblemStillWouldBeWithoutCOVID,Please describe what you view as your *second* biggest problem in your life right now. (zxeicxk),secondBiggestLifeProblem,Which *one* of these categories best matches what you described as the *second* biggest problem in your life right now? (qtqzid2),secondBiggestProblem,secondBiggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about (shown above)? If so, choose the category that best describes this second biggest problem of yours. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (1zmhlg8)",secondBiggestProblem2nd
16.53,0,28,tablet,male,completedBachelorsDegree,11/6/20 23:53,1992,5,United States,"$60,000 to $84,999",0,4,72500,5807359,5,11/7/20 4:54,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Fear over the coronavirus,Fear over the coronavirus,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,"No, it would not",0,Anxiety for my own future,Anxiety for my own future,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation
13.48,0,35,desktop,male,completedBachelorsDegree,11/6/20 23:56,1985,5,United States,"$60,000 to $84,999",0,4,72500,5807403,5,11/7/20 4:57,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem in my life right now is racism. I am been harassed at work by Trump supporters who believe people of color are inferior.,The single biggest problem in my life right now is racism. I am been harassed at work by Trump supporters who believe people of color are inferior.,"*Prejudice or harassment*: I am the victim of prejudice, racism, sexism, or harassment",prejudice,social,"*Prejudice or harassment*: I am the victim of prejudice, racism, sexism, or harassment",none,social,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem is a lack of financial opportunities. I am struggling to pay my bills on a monthly basis.,My second biggest problem is a lack of financial opportunities. I am struggling to pay my bills on a monthly basis.,*Low income*: I don't have enough income,notEnoughIncome,money,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt
16.27,0,30,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/6/20 23:54,1990,2,United States,"$10,000 to $24,999",0,1,17500,5807371,5,11/7/20 4:54,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My dog was diagnosed with canine diabetes and the cost of his insulin and appointments will wipe out what is left of my savings,My dog was diagnosed with canine diabetes and the cost of his insulin and appointments will wipe out what is left of my savings,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Low income*: I don't have enough income,notEnoughIncome,money,"No, it would not",0,"My small town has gotten extremely tense and aggressive about the election this week, and I worry people might get out of control soon.","My small town has gotten extremely tense and aggressive about the election this week, and I worry people might get out of control soon.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety
6.43,0,30,desktop,male,completedBachelorsDegree,11/6/20 23:54,1990,5,United States,"$25,000 to $39,999",0,2,32500,5807481,5,11/7/20 5:04,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Finances,Finances,*Low income*: I don't have enough income,notEnoughIncome,money,*None of these categories apply other than the one I already picked on the last question*,none,none,"No, it would not",0,Workload stress,Workload stress,*Dislike work*: I dislike my job or career,dislikeJob,work,*None of these categories apply other than the one I already picked on the last question*,none
16.48,0,38,tablet,male,completedBachelorsDegree,11/6/20 23:54,1982,5,United States,"$200,000 or more",0,8,225000,5807377,5,11/7/20 4:55,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Marriage,Marriage,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships,social,"*Negative attitude*: I have a negative, pessimistic or cynical attitude",negativeAttitude,psychology,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Lack of childcare,Lack of childcare,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,"*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet
17.18,0,38,desktop,male,completedBachelorsDegree,11/6/20 23:54,1982,5,United States,"$85,000 to $114,999",0,5,100000,5807378,5,11/7/20 4:55,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I am unable to travel to see family or spend time with friends due to the coronavirus, it has prevented me from doing things I like and want to do and I miss my old way of life.,I am unable to travel to see family or spend time with friends due to the coronavirus, it has prevented me from doing things I like and want to do and I miss my old way of life.,*Unsatisfied desire*: I really want something that I cannot have,reallWantSomethingCannotHave,desire,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,"No, it would not",0,Busy at work and unable to catch up on multiple projects that are going on right now.,Busy at work and unable to catch up on multiple projects that are going on right now.,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime,time
15.97,0,34,desktop,male,completedBachelorsDegree,11/6/20 23:55,1986,5,United States,"$10,000 to $24,999",0,1,17500,5807395,5,11/7/20 4:56,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I am thinking of doing a career change but with all the unemployement I am having a lot of competition to find a new job. In my current job i have gotten less hours.,I am thinking of doing a career change but with all the unemployement I am having a lot of competition to find a new job. In my current job i have gotten less hours.,*Dislike work*: I dislike my job or career,dislikeJob,work,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Trying to pay off my student loans.,Trying to pay off my student loans.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Low income*: I don't have enough income,notEnoughIncome
14.42,0,30,desktop,female,completedAssociateDegreeOnly,11/6/20 23:57,1990,4,United States,"$60,000 to $84,999",1,4,72500,5807414,5,11/7/20 4:58,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"Finances are pretty bad at the moment. We recently moved and had to spend a lot on that, now catching up with new bills, and creating new debt because of it. with 3 kids that eat all day being home from school, its hard to keep food in the house for everyone, trying to make it so they don't notice","Finances are pretty bad at the moment. We recently moved and had to spend a lot on that, now catching up with new bills, and creating new debt because of it. with 3 kids that eat all day being home from school, its hard to keep food in the house for everyone, trying to make it so they don't notice",*Low income*: I don't have enough income,notEnoughIncome,money,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,"No, it would not",0,"my son is autistic and nonverbal so it is hard to communicate effectively and make sure that his mental welfare, wants, needs, desires and thoughts are positive and healthy. hard to reassure or comfort him because we can't talk on a deeper level","my son is autistic and nonverbal so it is hard to communicate effectively and make sure that his mental welfare, wants, needs, desires and thoughts are positive and healthy. hard to reassure or comfort him because we can't talk on a deeper level","*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers
15.42,0,40,desktop,male,completedBachelorsDegree,11/6/20 23:57,1980,5,United States,"$85,000 to $114,999",0,5,100000,5807408,5,11/7/20 4:57,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My largest problem right now is social isolation Im feeling as a result of Covid19 and not being able to see my parents and be with them during this time.,My largest problem right now is social isolation Im feeling as a result of Covid19 and not being able to see my parents and be with them during this time.,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",none,social,"No, it would not",0,Im not feeling that I am able to move up in my job and am a little stagnant,Im not feeling that I am able to move up in my job and am a little stagnant,*Dislike work*: I dislike my job or career,dislikeJob,work,*Lack of goals*: I lack ambition or I lack long term goals that matter to me,lowAmbitionOrNoLongTermGoals
17.7,0,28,desktop,female,completedBachelorsDegree,11/6/20 23:55,1992,5,United States,"$150,000 to $199,999",1,7,175000,5807381,5,11/7/20 4:55,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"Saving enough money to buy a house, while also paying rent, daycare, bills, car payment, groceries, and shopping for christmas gifts.","Saving enough money to buy a house, while also paying rent, daycare, bills, car payment, groceries, and shopping for christmas gifts.",*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,having enough time to spend with my son after work and on the weekends without feeling like i have no time for myself.,having enough time to spend with my son after work and on the weekends without feeling like i have no time for myself.,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime,time,*None of these categories apply other than the one I already picked on the last question*,none
19.57,0,44,desktop,male,completedTradeTechicalVocationalTraing,11/6/20 23:53,1976,3,United States,"$10,000 to $24,999",0,1,17500,5807372,5,11/7/20 4:54,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The current problem That I have now is money honestly. I broke off a took 6 months ago and I can't seem to get enough money for my dental issues. It is really bad and needs several thousand dollars of work. I feel sad because of it.,The current problem That I have now is money honestly. I broke off a took 6 months ago and I can't seem to get enough money for my dental issues. It is really bad and needs several thousand dollars of work. I feel sad because of it.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"My second big problem is housing, I need more money to get my own place.  Living with my parents is not ideal.","My second big problem is housing, I need more money to get my own place.  Living with my parents is not ideal.",*Low income*: I don't have enough income,notEnoughIncome,money,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen
16.77,0,29,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/6/20 23:56,1991,2,United States,"$60,000 to $84,999",1,4,72500,5807405,5,11/7/20 4:57,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"My current biggest life problem is having to juggle a full work schedule with taking care of my newborn children. I feel very overwhelmed from having to do so much in such a short time frame. I often feel drained by the end of the day, since my husband works long hours as well and can usually only help so much with the kids. Therefore, I am somewhat stuck in an endless cycle of always feeling out of time and energy each and every day. I only wish that I had more resources so that I could take a break from all my responsibilities and take a breather.","My current biggest life problem is having to juggle a full work schedule with taking care of my newborn children. I feel very overwhelmed from having to do so much in such a short time frame. I often feel drained by the end of the day, since my husband works long hours as well and can usually only help so much with the kids. Therefore, I am somewhat stuck in an endless cycle of always feeling out of time and energy each and every day. I only wish that I had more resources so that I could take a break from all my responsibilities and take a breather.","*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet,social,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime,time,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"My second biggest problem is that my workplace has recently been conducting numerous layoffs and I am not sure if I am one of the people that will eventually be targeted for the layoff. I always work my hardest, but many people that I have seen do very well have been removed from their positions within the company already. This makes me extremely anxious to the point that many nights I cannot even fall asleep. I constantly fear what will happen to my family and all the financial stresses if I were to truly lose my income.","My second biggest problem is that my workplace has recently been conducting numerous layoffs and I am not sure if I am one of the people that will eventually be targeted for the layoff. I always work my hardest, but many people that I have seen do very well have been removed from their positions within the company already. This makes me extremely anxious to the point that many nights I cannot even fall asleep. I constantly fear what will happen to my family and all the financial stresses if I were to truly lose my income.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety
13.97,0,53,desktop,male,completedAssociateDegreeOnly,11/7/20 0:00,1967,4,United States,"$85,000 to $114,999",0,5,100000,5807440,5,11/7/20 5:00,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The debt I carry and my finances and how I will retire,The debt I carry and my finances and how I will retire,*Low income*: I don't have enough income,notEnoughIncome,money,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My son who does not have a steady enough job and is moving away form the family to live in a warmer climate,My son who does not have a steady enough job and is moving away form the family to live in a warmer climate,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,*Difficult decision*: I have a difficult decision or problem that I'm faced with and I don't know what choice to make or what to do about it,difficultDecision
8.17,0,44,desktop,female,completedProfessionalDegree,11/7/20 0:04,1976,7,United States,"$60,000 to $84,999",1,4,72500,5807491,5,11/7/20 5:06,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,my work,my work,"*Low self-confidence*: I lack self-confidence, or don't stand up for myself, or believe that I am worthless",lackSelfConfidenceOrDoNotStandUpForSelf,psychology,*Obesity*: I am obese or weigh too much,obsesity,health,"Yes, it still would likely be one of my two biggest life problems without COVID",1,money,money,*Health issue*: I have health problems or an illness,unemployment,health,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead
20.48,0,63,desktop,female,completedBachelorsDegree,11/6/20 23:53,1957,5,United States,"$60,000 to $84,999",1,4,72500,5807361,5,11/7/20 4:54,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"My ex boyfriend is currently still residing in my apartment because of his financial problems due to losing his job due to COVID.  We can't stand each other, but he helped me out years ago so I feel obliged to help him out now.  But, he's a hoarder and my living situation is getting worse every day.  I also am beginning to feel a bit afraid of him and not sure how to get him to leave.","My ex boyfriend is currently still residing in my apartment because of his financial problems due to losing his job due to COVID.  We can't stand each other, but he helped me out years ago so I feel obliged to help him out now.  But, he's a hoarder and my living situation is getting worse every day.  I also am beginning to feel a bit afraid of him and not sure how to get him to leave.",*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers,social,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships,social,"No, it would not",0,"I am currently working remotely from home and I am still employed full time.  But, I think that eventually my organization will need to reduce my hours or cut some employees.  I don't have enough work that I can do from home and other employees feel the same.  I am over 60 and fear loss of employment this close to retirement.","I am currently working remotely from home and I am still employed full time.  But, I think that eventually my organization will need to reduce my hours or cut some employees.  I don't have enough work that I can do from home and other employees feel the same.  I am over 60 and fear loss of employment this close to retirement.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt
12.18,0,50,desktop,male,completedBachelorsDegree,11/7/20 0:02,1970,5,United States,"$40,000 to $59,999",0,3,50000,5807462,5,11/7/20 5:02,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I don't make much money compared to my friends. The things I want to do, like build a house, I can't because I don't have enough money. This has bothered me throughout my adult life, as when I was growing up and going to school it didn't seem like it would be a problem. I feel like I've been left behind.","I don't make much money compared to my friends. The things I want to do, like build a house, I can't because I don't have enough money. This has bothered me throughout my adult life, as when I was growing up and going to school it didn't seem like it would be a problem. I feel like I've been left behind.",*Low income*: I don't have enough income,notEnoughIncome,money,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I need to have my wisdom teeth removed.,I need to have my wisdom teeth removed.,*Health issue*: I have health problems or an illness,unemployment,health,*Health issue*: I have health problems or an illness,none
16.17,0,24,desktop,female,completedBachelorsDegree,11/6/20 23:58,1996,5,United States,"$60,000 to $84,999",1,4,72500,5807423,5,11/7/20 4:59,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem in my life would be the fear and high chance of getting contacted with COVID-19 since election day has started. People are not following the CDC guidelines and I am afraid that if I go shopping for groceries and get contacted with someone then my life may be in great danger.,The single biggest problem in my life would be the fear and high chance of getting contacted with COVID-19 since election day has started. People are not following the CDC guidelines and I am afraid that if I go shopping for groceries and get contacted with someone then my life may be in great danger.,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers,social,"No, it would not",0,My second biggest problem would be income has been cut due to the poor economy.,My second biggest problem would be income has been cut due to the poor economy.,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead,behavior,*Low income*: I don't have enough income,notEnoughIncome
15.62,0,39,desktop,female,completedTradeTechicalVocationalTraing,11/6/20 23:59,1981,3,United States,"$25,000 to $39,999",1,2,32500,5807429,5,11/7/20 4:59,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I moved in to a new home and my spouse deployed the next day. I know no one in town and have no family around,I moved in to a new home and my spouse deployed the next day. I know no one in town and have no family around,"*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet,social,*None of these categories apply other than the one I already picked on the last question*,none,none,"No, it would not",0,I just moved and I dont have a job or have any help with child care while I work. Making working hard if i dont find a job that pays enough to cover child care and travel,I just moved and I dont have a job or have any help with child care while I work. Making working hard if i dont find a job that pays enough to cover child care and travel,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely
11.5,0,42,desktop,female,completedMastersDegree,11/7/20 0:02,1978,6,United States,"$60,000 to $84,999",1,4,72500,5807478,5,11/7/20 5:04,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"Family relationships. Unfortunately, not everyone can count on their own homes as a first line of stability and refuge. Financial Crisis. We live in an uncertain world and a financial crisis may come at different stages of life. ...
Health Crisis. Another major problem that might come up in your life is a health crisis.","Family relationships. Unfortunately, not everyone can count on their own homes as a first line of stability and refuge. Financial Crisis. We live in an uncertain world and a financial crisis may come at different stages of life. ...
Health Crisis. Another major problem that might come up in your life is a health crisis.","*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships,social,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"Creative problem solving is a skill that will stay with you for the rest of your life. ... Stop for a second and take time to understand what the problem or question is truly ... With a computer today, I now do it with my keyboard and store my thoughts in ... Choosing Your Major: A list of popular college majors and resources you can","Creative problem solving is a skill that will stay with you for the rest of your life. ... Stop for a second and take time to understand what the problem or question is truly ... With a computer today, I now do it with my keyboard and store my thoughts in ... Choosing Your Major: A list of popular college majors and resources you can","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Low self-confidence*: I lack self-confidence, or don't stand up for myself, or believe that I am worthless",lackSelfConfidenceOrDoNotStandUpForSelf
9.98,0,33,desktop,male,completedBachelorsDegree,11/7/20 0:02,1987,5,United States,"$60,000 to $84,999",0,4,72500,5807489,5,11/7/20 5:06,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,economic issues,economic issues,*Low income*: I don't have enough income,notEnoughIncome,money,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,low income,low income,*Low income*: I don't have enough income,notEnoughIncome,money,*None of these categories apply other than the one I already picked on the last question*,none
18.22,0,31,smartphone,male,nurseryTo8thGrade,11/6/20 23:57,1989,1,United States,"$10,000 to $24,999",0,1,17500,5807415,5,11/7/20 4:58,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"Finances, I lack money or at least enough to get ahead in life like I’d like to be","Finances, I lack money or at least enough to get ahead in life like I’d like to be",*Low income*: I don't have enough income,notEnoughIncome,money,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead,behavior,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"My physical health is not the best, I’m in pain most days","My physical health is not the best, I’m in pain most days",*Injury or disability*: I have a physical disability or injury,physicalDisability,health,*Old age*: I am experiencing the negative effects of old age,oldAge
20.83,0,37,smartphone,male,completedBachelorsDegree,11/6/20 23:55,1983,5,United States,"$40,000 to $59,999",0,3,50000,5807388,5,11/7/20 4:56,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My single biggest problem in life right now is breaking up with my ex fiancé.  We have been together for 8 years.  We live in a house together.  It has caused me great stress and anguish.  I am afraid that I will end up alone.  It makes me very sad.,My single biggest problem in life right now is breaking up with my ex fiancé.  We have been together for 8 years.  We live in a house together.  It has caused me great stress and anguish.  I am afraid that I will end up alone.  It makes me very sad.,"*Loss*: I have recently experienced a serious loss (e.g., a loved one died or my house burned down)",recent loss,event,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem is my work life balance.  My work is very stressful and I am always very busy.  It makes me not enjoy evenings as much because I am always worried about work the next day.,My second biggest problem is my work life balance.  My work is very stressful and I am always very busy.  It makes me not enjoy evenings as much because I am always worried about work the next day.,*Dislike work*: I dislike my job or career,dislikeJob,work,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime
26.05,0,38,desktop,female,completedAssociateDegreeOnly,11/6/20 23:53,1982,4,United States,"$85,000 to $114,999",1,5,100000,5807364,5,11/7/20 4:51,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I was just diagnosed with Ovarian Cancer and I'm worried about dying and leaving my children and also about the financial toll this will take on my family.,I was just diagnosed with Ovarian Cancer and I'm worried about dying and leaving my children and also about the financial toll this will take on my family.,*Health issue*: I have health problems or an illness,unemployment,health,*Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I am behind on bills.,I am behind on bills.,*Low income*: I don't have enough income,notEnoughIncome,money,*Unsatisfied desire*: I really want something that I cannot have,reallWantSomethingCannotHave
18.43,0,31,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/6/20 23:59,1989,2,United States,"$40,000 to $59,999",1,3,50000,5807427,5,11/7/20 4:59,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My relationship with my husband seems to be deteriorating.,My relationship with my husband seems to be deteriorating.,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships,social,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",none,social,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I want to lose weight but don't feel motivated enough.,I want to lose weight but don't feel motivated enough.,*Obesity*: I am obese or weigh too much,obsesity,health,"*Insufficient self-care*: I don't take care of myself, or I don't engage in self-care, or I don't put effort into solving my problems",doNotTakeCareOfSelf
12.7,0,49,desktop,male,completedBachelorsDegree,11/6/20 23:52,1971,5,United States,"$40,000 to $59,999",0,3,50000,5807486,5,11/7/20 5:05,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Obtaining enough money to pay my bills during the pandemic,Obtaining enough money to pay my bills during the pandemic,*Low income*: I don't have enough income,notEnoughIncome,money,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,"No, it would not",0,"I have some minor medical issues that I need to take care of, but I am afraid of going to the hospital out of fear of Covid.","I have some minor medical issues that I need to take care of, but I am afraid of going to the hospital out of fear of Covid.",*Health issue*: I have health problems or an illness,unemployment,health,*None of these categories apply other than the one I already picked on the last question*,none
16.05,0,40,desktop,male,completedBachelorsDegree,11/6/20 23:59,1980,5,United States,"$115,000 to $149,999",0,6,132500,5807452,5,11/7/20 5:02,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The COVID pandemic is the single biggest problem in my life right now. It's cause me a lot of stress and anxiety because I'm worried about the health of my family. It's also affecting me financially and cause me to earn a lot less money this year than I did last year.,The COVID pandemic is the single biggest problem in my life right now. It's cause me a lot of stress and anxiety because I'm worried about the health of my family. It's also affecting me financially and cause me to earn a lot less money this year than I did last year.,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Low income*: I don't have enough income,notEnoughIncome,money,"No, it would not",0,I feel isolated and have no social life right now.,I feel isolated and have no social life right now.,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,*None of these categories apply other than the one I already picked on the last question*,none
23.12,0,31,desktop,female,completedBachelorsDegree,11/6/20 23:54,1989,5,United States,"$25,000 to $39,999",1,2,32500,5807374,5,11/7/20 4:54,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My biggest problem is  my student loan debt. I'm 20k in debt and that amount doesn't seem to be going down.,My biggest problem is  my student loan debt. I'm 20k in debt and that amount doesn't seem to be going down.,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I need a better job. My job doesn't pay enough.,I need a better job. My job doesn't pay enough.,*Dislike work*: I dislike my job or career,dislikeJob,work,*None of these categories apply other than the one I already picked on the last question*,none
